Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2011 [YR2011],2017 [YR2017]
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,9100000,0.432,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,9110000:ACTUAL RECREATION AND CULTURE,9110000,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,9120000:ACTUAL EDUCATION,9120000,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,9140000:ACTUAL MISCELLANEOUS GOODS AND SERVICES,9140000,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,9250000:DOMESTIC ABSORPTION,9250000,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,9260000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS WITHOUT HOUSING,9260000,..,..
American Samoa,ASM,"Expenditure, market exchange rate-based (US$, billions)",CD,9270000:GENERAL GOVERNMENT FINAL CONSUMPTION EXPENDITURE,9270000,..,..
Angola,AGO,"Expenditure, market exchange rate-based (US$, billions)",CD,1000000:GROSS DOMESTIC PRODUCT,1000000,112.812440488922,122.745423372642
Angola,AGO,"Expenditure, market exchange rate-based (US$, billions)",CD,1101000:FOOD AND NON-ALCOHOLIC BEVERAGES,1101000,17.288042344423,31.323390837059
Angola,AGO,"Expenditure, market exchange rate-based (US$, billions)",CD,1101100:FOOD,1101100,16.4733453714337,29.8257635386421
Angola,AGO,"Expenditure, market exchange rate-based (US$, billions)",CD,1101110:Bread and cereals,1101110,4.46274445663798,8.20369799533631
Angola,AGO,"Expenditure, market exchange rate-based (US$, billions)",CD,1101120:Meat,1101120,3.7953849367494,6.97691568488266
Angola,AGO,"Expenditure, market exchange rate-based (US$, billions)",CD,1101130:Fish and seafood,1101130,2.34551881190703,4.31168043840028
Angola,AGO,"Expenditure, market exchange rate-based (US$, billions)",CD,"1101140:Milk, cheese and eggs",1101140,0.909476134493444,1.67185632380369
Angola,AGO,"Expenditure, market exchange rate-based (US$, billions)",CD,1101150:Oils and fats,1101150,1.00316980479905,1.8440899308879
Angola,AGO,"Expenditure, market exchange rate-based (US$, billions)",CD,1101160:Fruit,1101160,0.105485527651906,0.176824344845858
Angola,AGO,"Expenditure, market exchange rate-based (US$, billions)",CD,1101170:Vegetables,1101170,2.77825095438908,5.10715592311402
Angola,AGO,"Expenditure, market exchange rate-based (US$, billions)",CD,"1101180:Sugar, jam, honey, chocolate and confectionery",1101180,0.809601522203595,1.04876863870044
Angola,AGO,"Expenditure, market exchange rate-based (US$, billions)",CD,1101190:Food products n.e.c. (Class),1101190,0.263713222602156,0.484774258671043
Angola,AGO,"Expenditure, market exchange rate-based (US$, billions)",CD,1101200:NON-ALCOHOLIC BEVERAGES,1101200,0.814696972989367,1.49762729841683
